ticker,signal,target_weight,previous_weight,change,rank_score,model_source,factor_drivers,sector,market_regime,confidence,reason,entry_plan,exit_plan,next_review
UNH,HOLD,0.05,0.05,0.0,84.15,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",HEALTH,risk_on,84.1,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
AAPL,HOLD,0.05,0.05,0.0,79.31,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",TECH,risk_on,79.3,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
BAC,HOLD,0.05,0.05,0.0,55.83,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",FIN,risk_on,55.8,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
AMD,HOLD,0.05,0.05,0.0,45.96,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",TECH,risk_on,46.0,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
LLY,HOLD,0.05,0.05,0.0,44.47,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",HEALTH,risk_on,44.5,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
GOOGL,HOLD,0.05,0.05,0.0,43.91,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",TECH,risk_on,43.9,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
COST,HOLD,0.05,0.05,0.0,43.37,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",STAPLES,risk_on,43.4,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
AMZN,HOLD,0.05,0.05,0.0,42.57,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",TECH,risk_on,42.6,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
AVGO,HOLD,0.05,0.05,0.0,41.98,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",TECH,risk_on,42.0,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
JPM,HOLD,0.05,0.05,0.0,39.37,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",FIN,risk_on,39.4,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
CVX,HOLD,0.05,0.05,0.0,39.28,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",ENERGY,risk_on,39.3,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
NVDA,HOLD,0.05,0.05,0.0,38.18,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",TECH,risk_on,38.2,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
XOM,HOLD,0.05,0.05,0.0,36.78,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",ENERGY,risk_on,36.8,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
WMT,HOLD,0.05,0.05,0.0,27.05,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",STAPLES,risk_on,27.1,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
MSFT,HOLD,0.05,0.05,0.0,9.75,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",TECH,risk_on,9.8,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
META,HOLD,0.05,0.05,0.0,5.3,P2_CORRECTED_COMPOSITE,"rank_mom_60,rank_mom_120,rank_mom_252_skip_20",TECH,risk_on,5.3,audit_v171 composite_score,siguiente Open post-viernes,sale del top 30 o rebalance,proximo viernes
